name,base_channels,depth,parameter_count,macs_per_slice,flops_per_slice,receptive_field_proxy_pixels,largest_single_activation_bytes,input_shape,output_shape,parameter_relative_difference_to_res,mac_relative_difference_to_res
plain_unet_w18_d5,18,5,9844042,4137910272,8275820544,439,4147200,1x4x240x240,1x4x240x240,1.2119195982790063,0.5625565081839439
plain_unet_w19_d5,19,5,10967735,4608017408,9216034816,439,4377600,1x4x240x240,1x4x240x240,1.4644092330397003,0.5128586429375596
plain_unet_w20_d5,20,5,12152144,5103411200,10206822400,439,4608000,1x4x240x240,1x4x240x240,1.7305415270179298,0.4604875725296614
plain_unet_w21_d5,21,5,13397269,5624091648,11248183296,439,4838400,1x4x240x240,1x4x240x240,2.010316480213695,0.4054432969602494
plain_unet_w22_d5,22,5,14703110,6170058752,12340117504,439,5068800,1x4x240x240,1x4x240x240,2.3037340926269962,0.34772581622932364
plain_unet_w23_d5,23,5,16069667,6741312512,13482625024,439,5299200,1x4x240x240,1x4x240x240,2.6107943642578326,0.287335130336884
plain_unet_w24_d5,24,5,17496940,7337852928,14675705856,439,5529600,1x4x240x240,1x4x240x240,2.931497295106205,0.22427123928293063
plain_unet_w25_d5,25,5,18984929,7959680000,15919360000,439,5760000,1x4x240x240,1x4x240x240,3.265842885172113,0.1585341430674634
plain_unet_w26_d5,26,5,20533634,8606793728,17213587456,439,5990400,1x4x240x240,1x4x240x240,3.6138311344555563,0.09012384169048238
plain_unet_w27_d5,27,5,22143055,9279194112,18558388224,439,6220800,1x4x240x240,1x4x240x240,3.9754620429565355,0.01904033515198753
plain_unet_w28_d5,28,5,23813192,9976881152,19953762304,439,6451200,1x4x240x240,1x4x240x240,4.35073561067505,0.05471637654802113
plain_unet_w29_d5,29,5,25544045,10699854848,21399709696,439,6681600,1x4x240x240,1x4x240x240,4.739651837611101,0.1311462934095436
plain_unet_w30_d5,30,5,27335614,11448115200,22896230400,439,6912000,1x4x240x240,1x4x240x240,5.142210723764688,0.21024941543257988
plain_unet_w31_d5,31,5,29187899,12221662208,24443324416,439,7142400,1x4x240x240,1x4x240x240,5.558412269135809,0.29202574261713
plain_unet_w32_d5,32,5,31100900,13020495872,26040991744,439,7372800,1x4x240x240,1x4x240x240,5.988256473724467,0.3764752749631939
plain_unet_w33_d5,33,5,33074617,13844616192,27689232384,439,7603200,1x4x240x240,1x4x240x240,6.431743337530659,0.46359801247077165
plain_unet_w34_d5,34,5,35109050,14694023168,29388046336,439,7833600,1x4x240x240,1x4x240x240,6.888872860554389,0.5533939551398631
plain_unet_w35_d5,35,5,37204199,15568716800,31137433600,439,8064000,1x4x240x240,1x4x240x240,7.359645042795653,0.6458631029704686
plain_unet_w36_d5,36,5,39360064,16468697088,32937394176,439,8294400,1x4x240x240,1x4x240x240,7.844059884254453,0.7410054559625877
plain_unet_w37_d5,37,5,41576645,17393964032,34787928064,439,8524800,1x4x240x240,1x4x240x240,8.34211738493079,0.8388210141162207
plain_unet_w38_d5,38,5,43853942,18344517632,36689035264,439,8755200,1x4x240x240,1x4x240x240,8.853817544824661,0.9393097774313675
plain_unet_w39_d5,39,5,46191955,19320357888,38640715776,439,8985600,1x4x240x240,1x4x240x240,9.379160363936068,1.0424717459080282
plain_unet_w40_d5,40,5,48590684,20321484800,40642969600,439,9216000,1x4x240x240,1x4x240x240,9.91814584226501,1.1483069195462026
plain_unet_w41_d5,41,5,51050129,21347898368,42695796736,439,9446400,1x4x240x240,1x4x240x240,10.470773979811488,1.2568152983458907
plain_unet_w42_d5,42,5,53570290,22399598592,44799197184,439,9676800,1x4x240x240,1x4x240x240,11.037044776575502,1.3679968823070927
plain_unet_w43_d5,43,5,56151167,23476585472,46953170944,439,9907200,1x4x240x240,1x4x240x240,11.616958232557053,1.4818516714298087
plain_unet_w44_d5,44,5,58792760,24578859008,49157718016,439,10137600,1x4x240x240,1x4x240x240,12.210514347756138,1.5983796657140383
plain_unet_w45_d5,45,5,61495069,25706419200,51412838400,439,10368000,1x4x240x240,1x4x240x240,12.817713122172758,1.7175808651597817
plain_unet_w46_d5,46,5,64258094,26859266048,53718532096,439,10598400,1x4x240x240,1x4x240x240,13.438554555806915,1.839455269767039
plain_unet_w47_d5,47,5,67081835,28037399552,56074799104,439,10828800,1x4x240x240,1x4x240x240,14.073038648658608,1.9640028795358102
plain_unet_w48_d5,48,5,69966292,29240819712,58481639424,439,11059200,1x4x240x240,1x4x240x240,14.721165400727836,2.091223694466095
plain_unet_w49_d5,49,5,72911465,30469526528,60939053056,439,11289600,1x4x240x240,1x4x240x240,15.3829348120146,2.2211177145578938
plain_unet_w50_d5,50,5,75917354,31723520000,63447040000,439,11520000,1x4x240x240,1x4x240x240,16.0583468825189,2.3536849398112065
plain_unet_w51_d5,51,5,78983959,33002800128,66005600256,439,11750400,1x4x240x240,1x4x240x240,16.747401612240733,2.4889253702260326
plain_unet_w52_d5,52,5,82111280,34307366912,68614733824,439,11980800,1x4x240x240,1x4x240x240,17.450099001180106,2.6268390058023727
plain_unet_w53_d5,53,5,85299317,35637220352,71274440704,439,12211200,1x4x240x240,1x4x240x240,18.16643904933701,2.767425846540227
plain_unet_w54_d5,54,5,88548070,36992360448,73984720896,439,12441600,1x4x240x240,1x4x240x240,18.896421756711455,2.9106858924395946
plain_unet_w55_d5,55,5,91857539,38372787200,76745574400,439,12672000,1x4x240x240,1x4x240x240,19.640047123303432,3.0566191435004764
plain_unet_w56_d5,56,5,95227724,39778500608,79557001216,439,12902400,1x4x240x240,1x4x240x240,20.397315149112945,3.205225599722872
plain_unet_w57_d5,57,5,98658625,41209500672,82419001344,439,13132800,1x4x240x240,1x4x240x240,21.168225834139992,3.356505261106781
plain_unet_w58_d5,58,5,102150242,42665787392,85331574784,439,13363200,1x4x240x240,1x4x240x240,21.952779178384578,3.510458127652204
plain_unet_w59_d5,59,5,105702575,44147360768,88294721536,439,13593600,1x4x240x240,1x4x240x240,22.750975181846698,3.6670841993591408
plain_unet_w60_d5,60,5,109315624,45654220800,91308441600,439,13824000,1x4x240x240,1x4x240x240,23.562813844526353,3.8263834762275915
plain_unet_w61_d5,61,5,112989389,47186367488,94372734976,439,14054400,1x4x240x240,1x4x240x240,24.388295166423546,3.9883559582575563
plain_unet_w62_d5,62,5,116723870,48743800832,97487601664,439,14284800,1x4x240x240,1x4x240x240,25.22741914753827,4.153001645449034
plain_unet_w63_d5,63,5,120519067,50326520832,100653041664,439,14515200,1x4x240x240,1x4x240x240,26.080185787870537,4.320320537802027
plain_unet_w64_d5,64,5,124374980,51934527488,103869054976,439,14745600,1x4x240x240,1x4x240x240,26.946595087420334,4.490312635316532
plain_unet_w4_d6,4,6,1947360,242327552,484655104,887,921600,1x4x240x240,1x4x240x240,0.5624354559941327,0.9743820905862994
plain_unet_w5_d6,5,6,3041669,375756800,751513600,887,1152000,1x4x240x240,1x4x240x240,0.3165482966673947,0.9602764787390664
plain_unet_w6_d6,6,6,4378966,538324992,1076649984,887,1382400,1x4x240x240,1x4x240x240,0.016062638132036927,0.9430904130943102
plain_unet_w7_d6,7,6,5959251,730032128,1460064256,887,1612800,1x4x240x240,1x4x240x240,0.33902151961194055,0.9228238936520309
plain_unet_w8_d6,8,6,7782524,950878208,1901756416,887,1843200,1x4x240x240,1x4x240x240,0.7487041765645377,0.8994769204122283
plain_unet_w9_d6,9,6,9848785,1200863232,2401726464,887,2073600,1x4x240x240,1x4x240x240,1.2129853327257547,0.8730494933749026
plain_unet_w10_d6,10,6,12158034,1479987200,2959974400,887,2304000,1x4x240x240,1x4x240x240,1.7318649880955912,0.8435416125400537
plain_unet_w11_d6,11,6,14710271,1788250112,3576500224,887,2534400,1x4x240x240,1x4x240x240,2.3053431426740474,0.8109532779076817
plain_unet_w12_d6,12,6,17505496,2125651968,4251303936,887,2764800,1x4x240x240,1x4x240x240,2.9334197964611235,0.7752844894777864
plain_unet_w13_d6,13,6,20543709,2492192768,4984385536,887,2995200,1x4x240x240,1x4x240x240,3.6160949494568193,0.736535247250368
plain_unet_w14_d6,14,6,23824910,2887872512,5775745024,887,3225600,1x4x240x240,1x4x240x240,4.353368601661135,0.6947055512254265
plain_unet_w15_d6,15,6,27349099,3312691200,6625382400,887,3456000,1x4x240x240,1x4x240x240,5.14524075307407,0.6497954014029618
plain_unet_w16_d6,16,6,31116276,3766648832,7533297664,887,3686400,1x4x240x240,1x4x240x240,5.991711403695625,0.6018047977829739
plain_unet_w17_d6,17,6,35126441,4249745408,8499490816,887,3916800,1x4x240x240,1x4x240x240,6.8927805535257995,0.5507337403654629
plain_unet_w18_d6,18,6,39379594,4761980928,9523961856,887,4147200,1x4x240x240,1x4x240x240,7.848448202564594,0.49658222915042866
plain_unet_w19_d6,19,6,43875735,5303355392,10606710784,887,4377600,1x4x240x240,1x4x240x240,8.858714350812008,0.4393502641378713
plain_unet_w20_d6,20,6,48614864,5873868800,11747737600,887,4608000,1x4x240x240,1x4x240x240,9.923578998268042,0.3790378453277908
plain_unet_w21_d6,21,6,53596981,6473521152,12947042304,887,4838400,1x4x240x240,1x4x240x240,11.043042144932695,0.31564497272018704
plain_unet_w22_d6,22,6,58822086,7102312448,14204624896,887,5068800,1x4x240x240,1x4x240x240,12.217103790805968,0.2491716463150602
plain_unet_w23_d6,23,6,64290179,7760242688,15520485376,887,5299200,1x4x240x240,1x4x240x240,13.445763935887861,0.17961786611241015
plain_unet_w24_d6,24,6,70001260,8447311872,16894623744,887,5529600,1x4x240x240,1x4x240x240,14.729022580178373,0.10698363211223695
plain_unet_w25_d6,25,6,75955329,9163520000,18327040000,887,5760000,1x4x240x240,1x4x240x240,16.066879723677506,0.031268944314540574
plain_unet_w26_d6,26,6,82152386,9908867072,19817734144,887,5990400,1x4x240x240,1x4x240x240,17.459335366385258,0.047526197280678965
plain_unet_w27_d6,27,6,88592431,10683353088,21366706176,887,6220800,1x4x240x240,1x4x240x240,18.90638950830163,0.12940179267342167
plain_unet_w28_d6,28,6,95275464,11486978048,22973956096,887,6451200,1x4x240x240,1x4x240x240,20.40804214942662,0.21435784186368753
plain_unet_w29_d6,29,6,102201485,12319741952,24639483904,887,6681600,1x4x240x240,1x4x240x240,21.96429328976023,0.3023943448514766
plain_unet_w30_d6,30,6,109370494,13181644800,26363289600,887,6912000,1x4x240x240,1x4x240x240,23.575142929302462,0.39351130163678877
plain_unet_w31_d6,31,6,116782491,14072686592,28145373184,887,7142400,1x4x240x240,1x4x240x240,25.240591068053313,0.48770871221962414
plain_unet_w32_d6,32,6,124437476,14992867328,29985734656,887,7372800,1x4x240x240,1x4x240x240,26.960637706012783,0.5849865765999827
plain_unet_w33_d6,33,6,132335449,15942187008,31884374016,887,7603200,1x4x240x240,1x4x240x240,28.735282843180872,0.6853448947778644
plain_unet_w34_d6,34,6,140476410,16920645632,33841291264,887,7833600,1x4x240x240,1x4x240x240,30.564526479557582,0.7887836667532693
plain_unet_w35_d6,35,6,148860359,17928243200,35856486400,887,8064000,1x4x240x240,1x4x240x240,32.44836861514291,0.8953028925261973
plain_unet_w36_d6,36,6,157487296,18964979712,37929959424,887,8294400,1x4x240x240,1x4x240x240,34.38680924993686,1.0049025720966485
plain_unet_w37_d6,37,6,166357221,20030855168,40061710336,887,8524800,1x4x240x240,1x4x240x240,36.37984838393943,1.1175827054646228
plain_unet_w38_d6,38,6,175470134,21125869568,42251739136,887,8755200,1x4x240x240,1x4x240x240,38.42748601715062,1.2333432926301204
plain_unet_w39_d6,39,6,184826035,22250022912,44500045824,887,8985600,1x4x240x240,1x4x240x240,40.529722149570425,1.3521843335931412
plain_unet_w40_d6,40,6,194424924,23403315200,46806630400,887,9216000,1x4x240x240,1x4x240x240,42.68655678119885,1.474105828353685
plain_unet_w41_d6,41,6,204266801,24585746432,49171492864,887,9446400,1x4x240x240,1x4x240x240,44.897989912035904,1.5991077769117519
plain_unet_w42_d6,42,6,214351666,25797316608,51594633216,887,9676800,1x4x240x240,1x4x240x240,47.16402154208157,1.727190179267342
plain_unet_w43_d6,43,6,224679519,27038025728,54076051456,887,9907200,1x4x240x240,1x4x240x240,49.484651671335854,1.8583530354204556
plain_unet_w44_d6,44,6,235250360,28307873792,56615747584,887,10137600,1x4x240x240,1x4x240x240,51.85988029979876,1.992596345371092
plain_unet_w45_d6,45,6,246064189,29606860800,59213721600,887,10368000,1x4x240x240,1x4x240x240,54.28970742747029,2.1299201091192517
plain_unet_w46_d6,46,6,257121006,30934986752,61869973504,887,10598400,1x4x240x240,1x4x240x240,56.774133054350436,2.2703243266649347
plain_unet_w47_d6,47,6,268420811,32292251648,64584503296,887,10828800,1x4x240x240,1x4x240x240,59.3131571804392,2.4138089980081405
plain_unet_w48_d6,48,6,279963604,33678655488,67357310976,887,11059200,1x4x240x240,1x4x240x240,61.90677980573658,2.5603741231488697
plain_unet_w49_d6,49,6,291749385,35094198272,70188396544,887,11289600,1x4x240x240,1x4x240x240,64.55500093024258,2.710019702087122
plain_unet_w50_d6,50,6,303778154,36538880000,73077760000,887,11520000,1x4x240x240,1x4x240x240,67.25782055395722,2.8627457348228975
plain_unet_w51_d6,51,6,316049911,38012700672,76025401344,887,11750400,1x4x240x240,1x4x240x240,70.01523867688046,3.0185522213561966
plain_unet_w52_d6,52,6,328564656,39515660288,79031320576,887,11980800,1x4x240x240,1x4x240x240,72.82725529901232,3.177439161687018
plain_unet_w53_d6,53,6,341322389,41047758848,82095517696,887,12211200,1x4x240x240,1x4x240x240,75.69387042035281,3.3394065558153634
plain_unet_w54_d6,54,6,354323110,42608996352,85217992704,887,12441600,1x4x240x240,1x4x240x240,78.61508404090192,3.5044544037412315
plain_unet_w55_d6,55,6,367566819,44199372800,88398745600,887,12672000,1x4x240x240,1x4x240x240,81.59089616065964,3.672582705464623
plain_unet_w56_d6,56,6,381053516,45818888192,91637776384,887,12902400,1x4x240x240,1x4x240x240,84.62130677962598,3.8437914609855373
plain_unet_w57_d6,57,6,394783201,47467542528,94935085056,887,13132800,1x4x240x240,1x4x240x240,87.70631589780095,4.018080670303975
plain_unet_w58_d6,58,6,408755874,49145335808,98290671616,887,13363200,1x4x240x240,1x4x240x240,90.84592351518452,4.195450333419936
plain_unet_w59_d6,59,6,422971535,50852268032,101704536064,887,13593600,1x4x240x240,1x4x240x240,94.04012963177672,4.37590045033342
plain_unet_w60_d6,60,6,437430184,52588339200,105176678400,887,13824000,1x4x240x240,1x4x240x240,97.28893424757754,4.5594310210444275
plain_unet_w61_d6,61,6,452131821,54353549312,108707098624,887,14054400,1x4x240x240,1x4x240x240,100.59233736258699,4.746042045552957
plain_unet_w62_d6,62,6,467076446,56147898368,112295796736,887,14284800,1x4x240x240,1x4x240x240,103.95033897680506,4.935733523859011
plain_unet_w63_d6,63,6,482264059,57971386368,115942772736,887,14515200,1x4x240x240,1x4x240x240,107.36293909023173,5.128505455962587
plain_unet_w64_d6,64,6,497694660,59824013312,119648026624,887,14745600,1x4x240x240,1x4x240x240,110.83013770286703,5.324357841863687
