name,base_channels,depth,parameter_count,macs_per_slice,flops_per_slice,receptive_field_proxy_pixels,largest_single_activation_bytes,input_shape,output_shape,parameter_relative_difference_to_res,mac_relative_difference_to_res
plain_unet_w43_d2,43,2,843019,10110297600,20220595200,47,9907200,1x4x240x240,1x4x240x240,0.8105767683821778,0.06882063522992986
plain_unet_w44_d2,44,2,882600,10583654400,21167308800,47,10137600,1x4x240x240,1x4x240x240,0.8016830650010381,0.11886204208885424
plain_unet_w45_d2,45,2,923089,11067840000,22135680000,47,10368000,1x4x240x240,1x4x240x240,0.7925853373994372,0.170048226812159
plain_unet_w46_d2,46,2,964486,11562854400,23125708800,47,10598400,1x4x240x240,1x4x240x240,0.7832835855773751,0.2223791893998441
plain_unet_w47_d2,47,2,1006791,12068697600,24137395200,47,10828800,1x4x240x240,1x4x240x240,0.7737778095348518,0.27585492985190957
plain_unet_w48_d2,48,2,1050004,12585369600,25170739200,47,11059200,1x4x240x240,1x4x240x240,0.7640680092718672,0.3304754481683554
plain_unet_w49_d2,49,2,1094125,13112870400,26225740800,47,11289600,1x4x240x240,1x4x240x240,0.7541541847884214,0.3862407443491816
plain_unet_w50_d2,50,2,1139154,13651200000,27302400000,47,11520000,1x4x240x240,1x4x240x240,0.7440363360845146,0.44315081839438814
plain_unet_w51_d2,51,2,1185091,14200358400,28400716800,47,11750400,1x4x240x240,1x4x240x240,0.7337144631601464,0.501205670303975
plain_unet_w52_d2,52,2,1231936,14760345600,29520691200,47,11980800,1x4x240x240,1x4x240x240,0.7231885660153171,0.5604053000779423
plain_unet_w53_d2,53,2,1279689,15331161600,30662323200,47,12211200,1x4x240x240,1x4x240x240,0.7124586446500265,0.6207497077162899
plain_unet_w54_d2,54,2,1328350,15912806400,31825612800,47,12441600,1x4x240x240,1x4x240x240,0.7015246990642748,0.6822388932190179
plain_unet_w55_d2,55,2,1377919,16505280000,33010560000,47,12672000,1x4x240x240,1x4x240x240,0.6903867292580619,0.7448728565861262
plain_unet_w56_d2,56,2,1428396,17108582400,34217164800,47,12902400,1x4x240x240,1x4x240x240,0.6790447352313878,0.808651597817615
plain_unet_w57_d2,57,2,1479781,17722713600,35445427200,47,13132800,1x4x240x240,1x4x240x240,0.6674987169842523,0.873575116913484
plain_unet_w58_d2,58,2,1532074,18347673600,36695347200,47,13363200,1x4x240x240,1x4x240x240,0.6557486745166559,0.9396434138737334
plain_unet_w59_d2,59,2,1585275,18983462400,37966924800,47,13593600,1x4x240x240,1x4x240x240,0.6437946078285981,1.0068564886983633
plain_unet_w60_d2,60,2,1639384,19630080000,39260160000,47,13824000,1x4x240x240,1x4x240x240,0.6316365169200792,1.0752143413873734
plain_unet_w61_d2,61,2,1694401,20287526400,40575052800,47,14054400,1x4x240x240,1x4x240x240,0.6192744017910989,1.144716971940764
plain_unet_w62_d2,62,2,1750326,20955801600,41911603200,47,14284800,1x4x240x240,1x4x240x240,0.6067082624416577,1.2153643803585348
plain_unet_w63_d2,63,2,1807159,21634905600,43269811200,47,14515200,1x4x240x240,1x4x240x240,0.5939380988717551,1.287156566640686
plain_unet_w64_d2,64,2,1864900,22324838400,44649676800,47,14745600,1x4x240x240,1x4x240x240,0.5809639110813913,1.3600935307872175
plain_unet_w4_d3,4,3,30592,135014400,270028800,103,921600,1x4x240x240,1x4x240x240,0.9931260914621706,0.9857268121590024
plain_unet_w5_d3,5,3,47629,208080000,416160000,103,1152000,1x4x240x240,1x4x240x240,0.9892979409731866,0.9780026061964147
plain_unet_w6_d3,6,3,68422,296870400,593740800,103,1382400,1x4x240x240,1x4x240x240,0.9846258312638806,0.9686160366328916
plain_unet_w7_d3,7,3,92971,401385600,802771200,103,1612800,1x4x240x240,1x4x240x240,0.9791097623342528,0.9575671034684333
plain_unet_w8_d3,8,3,121276,521625600,1043251200,103,1843200,1x4x240x240,1x4x240x240,0.9727497341843031,0.9448558067030397
plain_unet_w9_d3,9,3,153337,657590400,1315180800,103,2073600,1x4x240x240,1x4x240x240,0.9655457468140315,0.9304821463367108
plain_unet_w10_d3,10,3,189154,809280000,1618560000,103,2304000,1x4x240x240,1x4x240x240,0.957497800223438,0.9144461223694466
plain_unet_w11_d3,11,3,228727,976694400,1953388800,103,2534400,1x4x240x240,1x4x240x240,0.9486058944125226,0.896747734801247
plain_unet_w12_d3,12,3,272056,1159833600,2319667200,103,2764800,1x4x240x240,1x4x240x240,0.9388700293812853,0.8773869836321122
plain_unet_w13_d3,13,3,319141,1358697600,2717395200,103,2995200,1x4x240x240,1x4x240x240,0.9282902051297262,0.8563638688620421
plain_unet_w14_d3,14,3,369982,1573286400,3146572800,103,3225600,1x4x240x240,1x4x240x240,0.916866421657845,0.8336783904910366
plain_unet_w15_d3,15,3,424579,1803600000,3607200000,103,3456000,1x4x240x240,1x4x240x240,0.9045986789656422,0.8093305485190959
plain_unet_w16_d3,16,3,482932,2049638400,4099276800,103,3686400,1x4x240x240,1x4x240x240,0.8914869770531173,0.7833203429462198
plain_unet_w17_d3,17,3,545041,2311401600,4622803200,103,3916800,1x4x240x240,1x4x240x240,0.8775313159202706,0.7556477737724084
plain_unet_w18_d3,18,3,610906,2588889600,5177779200,103,4147200,1x4x240x240,1x4x240x240,0.8627316955671019,0.7263128409976617
plain_unet_w19_d3,19,3,680527,2882102400,5764204800,103,4377600,1x4x240x240,1x4x240x240,0.8470881159936114,0.6953155446219798
plain_unet_w20_d3,20,3,753904,3191040000,6382080000,103,4608000,1x4x240x240,1x4x240x240,0.8306005771997991,0.6626558846453624
plain_unet_w21_d3,21,3,831037,3515702400,7031404800,103,4838400,1x4x240x240,1x4x240x240,0.8132690791856647,0.6283338610678099
plain_unet_w22_d3,22,3,911926,3856089600,7712179200,103,5068800,1x4x240x240,1x4x240x240,0.7950936219512086,0.5923494738893219
plain_unet_w23_d3,23,3,996571,4212201600,8424403200,103,5299200,1x4x240x240,1x4x240x240,0.7760742054964305,0.5547027231098987
plain_unet_w24_d3,24,3,1084972,4584038400,9168076800,103,5529600,1x4x240x240,1x4x240x240,0.7562108298213305,0.5153936087295401
plain_unet_w25_d3,25,3,1177129,4971600000,9943200000,103,5760000,1x4x240x240,1x4x240x240,0.7355034949259086,0.4744221307482463
plain_unet_w26_d3,26,3,1273042,5374886400,10749772800,103,5990400,1x4x240x240,1x4x240x240,0.7139522008101649,0.43178828916601714
plain_unet_w27_d3,27,3,1372711,5793897600,11587795200,103,6220800,1x4x240x240,1x4x240x240,0.6915569474740992,0.3874920839828527
plain_unet_w28_d3,28,3,1476136,6228633600,12457267200,103,6451200,1x4x240x240,1x4x240x240,0.6683177349177117,0.3415335151987529
plain_unet_w29_d3,29,3,1583317,6679094400,13358188800,103,6681600,1x4x240x240,1x4x240x240,0.6442345631410024,0.29391258281371785
plain_unet_w30_d3,30,3,1694254,7145280000,14290560000,103,6912000,1x4x240x240,1x4x240x240,0.619307432143971,0.24462928682774746
plain_unet_w31_d3,31,3,1808947,7627190400,15254380800,103,7142400,1x4x240x240,1x4x240x240,0.5935363419266177,0.1936836272408418
plain_unet_w32_d3,32,3,1927396,8124825600,16249651200,103,7372800,1x4x240x240,1x4x240x240,0.5669212924889427,0.1410756040530008
plain_unet_w33_d3,33,3,2049601,8638185600,17276371200,103,7603200,1x4x240x240,1x4x240x240,0.5394622838309457,0.08680521726422448
plain_unet_w34_d3,34,3,2175562,9167270400,18334540800,103,7833600,1x4x240x240,1x4x240x240,0.5111593159526269,0.03087246687451286
plain_unet_w35_d3,35,3,2305279,9712080000,19424160000,103,8064000,1x4x240x240,1x4x240x240,0.48201238885398606,0.02672264711613406
plain_unet_w36_d3,36,3,2438752,10272614400,20545228800,103,8294400,1x4x240x240,1x4x240x240,0.45202150253502343,0.0859801247077163
plain_unet_w37_d3,37,3,2575981,10848873600,21697747200,103,8524800,1x4x240x240,1x4x240x240,0.4211866569957389,0.14689996590023383
plain_unet_w38_d3,38,3,2716966,11440857600,22881715200,103,8755200,1x4x240x240,1x4x240x240,0.38950785223613243,0.20948217069368666
