candidate_id,metric,patient_count,finite_count,nan_count,positive_infinity_count,negative_infinity_count,mean_finite,median_finite,standard_deviation_finite,bootstrap_lower_finite,bootstrap_upper_finite
bunet,mean_regional_dice,74,74,0,0,0,0.7522553258849438,0.8044956389912239,0.15588783634389652,0.7159110706815495,0.7863450171000618
bunet,wt_dice,74,74,0,0,0,0.8232130361330529,0.8425073690574716,0.1014862505533944,0.7993632813905073,0.8451986775256636
bunet,tc_dice,74,74,0,0,0,0.7242340913079399,0.7858213742615401,0.23038536613579702,0.66952168709764,0.7738784866058831
bunet,et_dice,74,74,0,0,0,0.7093188502138384,0.7997542529217598,0.24536703200254953,0.6501912423221633,0.7619947392878202
bunet,wt_hd95_mm,74,74,0,0,0,35.82286123964096,33.87292033807991,23.8728851251231,30.438062677672203,41.26300913664424
bunet,tc_hd95_mm,74,73,0,1,0,22.000004592341913,15.229433752404876,21.407607399705892,17.369372568069302,27.04461464886076
bunet,et_hd95_mm,74,69,0,5,0,16.825013781801363,7.7343377778444395,21.324847606262782,12.02543331215962,22.045168852271587
bunet,wt_surface_dice,74,74,0,0,0,0.621228294171607,0.6404290090214758,0.13780179846453391,0.5900466338263655,0.6521779606803907
bunet,tc_surface_dice,74,74,0,0,0,0.5861807178104954,0.6546520127148243,0.26307212578115563,0.5236664302550817,0.6445013696267942
bunet,et_surface_dice,74,74,0,0,0,0.7438600980085487,0.835660696139217,0.25851203402792455,0.6837731293564092,0.7995818945479101
bunet,wt_lesion_recall,74,74,0,0,0,0.4531162006162006,0.3416666666666667,0.323187903494934,0.3818444179473591,0.526087499885294
bunet,tc_lesion_recall,74,74,0,0,0,0.5948466323466324,0.5,0.3624750976569615,0.512523595023595,0.6764911786786787
bunet,et_lesion_recall,74,69,5,0,0,0.47527500954099416,0.3333333333333333,0.36679230709273125,0.3910073353472331,0.5628857262799718
bunet,wt_lesion_precision,74,74,0,0,0,0.11699909666348471,0.07562743536656577,0.1098805774480324,0.09347767242089017,0.1430069954730623
