comparison_id,comparison_role,first_candidate,second_candidate,metric,formal_hypothesis_test,paired_patient_count,excluded_nonfinite_pair_count,paired_mean_difference,paired_median_difference,paired_bootstrap_lower,paired_bootstrap_upper,standardized_paired_effect_dz,permutation_p_value,holm_adjusted_p_value,reject_holm_alpha_0_05
bunet_vs_unet_reference,primary,bunet,unet_reference,mean_regional_dice,True,74,0,0.016725931725792228,0.0042668359980161386,0.005106686975700617,0.02952534523966074,0.30777666411376653,0.007129928700712993,0.014259857401425985,True
bunet_vs_unet_reference,primary,bunet,unet_reference,wt_dice,False,74,0,0.013588493810278306,-0.0009981567463808183,-0.0060981557677223025,0.03510809301390968,0.15015720566176535,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,tc_dice,False,74,0,0.03150346823062448,0.016160037750162948,0.016801861061839965,0.04799098246876862,0.45970550726682446,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,et_dice,False,74,0,0.005085833136473861,-0.002069333002900353,-0.014181351608540307,0.024135851935483767,0.06156408966495245,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,wt_hd95_mm,False,74,0,13.896706558865782,13.430805484416146,10.676634036549375,17.141029375888948,0.9788305498639797,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,tc_hd95_mm,False,71,3,4.4665196501932956,0.6130945721138552,1.9451819730019757,7.16475054800563,0.3925227884731452,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,et_hd95_mm,False,68,6,1.5383238526606262,-0.09771600521369495,-0.7206850723255708,3.9302351267182503,0.15774236991614268,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,wt_surface_dice,False,74,0,0.015766717537526398,0.003313364883694603,-0.013765937426673567,0.04634372898073164,0.11862325763151019,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,tc_surface_dice,False,74,0,0.008753487723402505,0.013335962751204675,-0.0030593230265404422,0.02044612872180458,0.16942061133284897,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,et_surface_dice,False,74,0,0.010187508873259287,0.004719879096655832,-0.007904618096494514,0.028111633505785796,0.12742830168274352,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,wt_lesion_recall,False,74,0,0.029401165871754103,0.0,0.014882496467055284,0.04621060608928256,0.41613530724959547,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,tc_lesion_recall,False,74,0,0.010076147576147578,0.0,-0.006885635635635628,0.028528573216073216,0.12937920973555142,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,et_lesion_recall,False,69,5,0.005259944248861555,0.0,-0.008974432343571299,0.019859096880196617,0.08590875707780547,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,wt_lesion_precision,False,74,0,-0.1927949413007528,-0.12879069874439952,-0.2338265599195561,-0.15271244471612186,-1.075057012559158,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,tc_lesion_precision,False,71,3,0.02956127625984241,0.022076153693800782,-0.005171237181087512,0.0638247027809103,0.19859463096907382,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,et_lesion_precision,False,71,3,0.020922451818895835,0.0031988469886771523,-0.01102120912551332,0.05260139208167671,0.1538919218193067,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,wt_lesion_wise_dice,False,74,0,0.013907391426149709,0.008083778416239445,0.006607252802722912,0.021346099808994264,0.4297279275021062,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,tc_lesion_wise_dice,False,74,0,0.017950474531288337,0.010943823710204886,0.007018597211928945,0.0315077503030501,0.33404668852952696,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,et_lesion_wise_dice,False,69,5,0.011279303026015515,-8.622310550721334e-05,0.0009774210555612256,0.0273442342280256,0.1925457017204143,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,wt_false_positive_lesion_count,False,74,0,13.781981981981982,10.166666666666668,11.005360360360362,16.850563063063067,1.0555770961064648,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,tc_false_positive_lesion_count,False,74,0,-1.798198198198198,-1.0666666666666664,-2.662162162162162,-0.9963963963963964,-0.4823962616710168,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,et_false_positive_lesion_count,False,74,0,-0.863963963963964,-0.3333333333333326,-1.4945945945945944,-0.2810810810810812,-0.3274204331849095,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,wt_relative_volume_error,False,74,0,0.16892073701112736,0.10787399320344487,0.1299428816635287,0.21385444778850612,0.9271115792860798,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,tc_relative_volume_error,False,74,0,0.08260910127198026,0.06665815060291228,0.06268589282684456,0.10417460550599145,0.9012218959009052,,,False
bunet_vs_unet_reference,primary,bunet,unet_reference,et_relative_volume_error,False,69,5,0.11041552730900307,0.01790113831280215,0.03893348499254865,0.219296925596474,0.28371459188848575,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,mean_regional_dice,True,74,0,0.02045703713242319,0.005251598453417883,0.008092953044680475,0.034364438995134555,0.34743858143813827,0.0014999850001499984,0.004499955000449995,True
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,wt_dice,False,74,0,0.017745617985824556,0.004177382615462688,0.00020746196824895585,0.03715379328519645,0.21930884569316217,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,tc_dice,False,74,0,0.032926865367724656,0.016182209475782916,0.01663379740279281,0.05043056096663644,0.43849056724634244,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,et_dice,False,74,0,0.010698628043720347,0.0017991337598026735,-0.013596524154480764,0.032914328080266154,0.10600632520282578,,,False
unet_res_vs_unet_reference,multiplicity_controlled_secondary,unet_res,unet_reference,wt_hd95_mm,False,74,0,9.938848825366298,7.549513322375816,7.163085445109384,12.81151971168578,0.7992315229585467,,,False
