candidate_id,seed_count,patient_count,mean_regional_dice,median_regional_dice,seed_mean_standard_deviation,paired_reference_candidate,paired_mean_difference,paired_bootstrap_lower,paired_bootstrap_upper,run_ids
bunet,5,37,0.7426282130955189,0.7899301480051938,0.007725231746734228,bunet,0.0,0.0,0.0,gate9_confirm_bunet_20260729_s20260729_48e84344|gate9_confirm_bunet_20260730_s20260730_48e84344|gate9_confirm_bunet_20260731_s20260731_48e84344|gate9_extend_bunet_20260732_s20260732_48e84344|gate9_extend_bunet_20260733_s20260733_48e84344
unet_res,5,37,0.7399158318520246,0.789869545916963,0.007931998495143585,bunet,-0.0027123812434941223,-0.011521289097360363,0.0040921655460219985,gate9_confirm_unet_res_20260729_s20260729_48e84344|gate9_confirm_unet_res_20260730_s20260730_48e84344|gate9_confirm_unet_res_20260731_s20260731_48e84344|gate9_extend_unet_res_20260732_s20260732_48e84344|gate9_extend_unet_res_20260733_s20260733_48e84344
