candidate_id,role,seed_count,patient_count,mean_regional_dice,median_regional_dice,seed_mean_standard_deviation,paired_reference_candidate,paired_mean_difference,paired_bootstrap_lower,paired_bootstrap_upper,practical_margin,eliminated,run_ids
bunet,finalist_eligible,3,37,0.7445740536846862,0.7945319806283568,0.007829489824109111,bunet,0.0,0.0,0.0,0.01,False,gate9_confirm_bunet_20260729_s20260729_48e84344|gate9_confirm_bunet_20260730_s20260730_48e84344|gate9_confirm_bunet_20260731_s20260731_48e84344
unet_reference,reference,3,37,0.7392495129400795,0.7829605213240969,0.005927181932400797,bunet,-0.005324540744606771,-0.016130600639468928,0.005194918430586973,0.01,False,gate9_confirm_unet_reference_20260729_s20260729_48e84344|gate9_confirm_unet_reference_20260730_s20260730_48e84344|gate9_confirm_unet_reference_20260731_s20260731_48e84344
unet_res,finalist_eligible,3,37,0.7394148315029483,0.7907898649359962,0.007897615937478494,bunet,-0.005159222181737962,-0.02119857641147842,0.005915148735200467,0.01,False,gate9_confirm_unet_res_20260729_s20260729_48e84344|gate9_confirm_unet_res_20260730_s20260730_48e84344|gate9_confirm_unet_res_20260731_s20260731_48e84344
unet_wc,finalist_eligible,3,37,0.7301957392023857,0.7898604758213609,0.002279492510369955,bunet,-0.014378314482300593,-0.02791664686909715,-0.001090538701495683,0.01,True,gate9_confirm_unet_wc_20260729_s20260729_48e84344|gate9_confirm_unet_wc_20260730_s20260730_48e84344|gate9_confirm_unet_wc_20260731_s20260731_48e84344
